"id","plcid","title","addr","modbusAddr","type","dictid","value_format","multiplicator","shift","save_to_log","measureUnits","has_normal","normal_regid","normal_regid2","normal_dynamic_value","normal_binary_value","normal_binary_text","normal_color","normal_min_regid","normal_min_delta","normal_max_regid","normal_max_delta","normal_min_val","normal_max_val","has_disabled","disabled_regid","disabled_regid2","disabled_dynamic_value","disabled_binary_value","disabled_binary_text","disabled_color","disabled_min_regid","disabled_min_delta","disabled_max_regid","disabled_max_delta","disabled_min_val","disabled_max_val","has_warning","warning_regid","warning_regid2","warning_dynamic_value","warning_binary_value","warning_binary_text","warning_color","warning_min_regid","warning_min_delta","warning_max_regid","warning_max_delta","warning_min_val","warning_max_val","has_alert","alert_regid","alert_regid2","alert_dynamic_value","alert_binary_value","alert_binary_text","alert_color","alert_min_regid","alert_min_delta","alert_max_regid","alert_max_delta","alert_min_val","alert_max_val","timeformat","log_tolerance","precision_digits","min_log_interval","max_log_interval","max_graph_interval","max_allowed_value","min_allowed_value","rw_mode","min_reasonable_value","max_reasonable_value","save_graph_data","graph_interval","graph_color","disabled","nocloud","delta","delay","bitmask","words_order","time_duration","priority","cloud_log","cloud_rt","description","variable","category","alerts_enbl","alerts","cloud_sync"
404,4,"STATUS_CentrTroll_out.ERR","HR1",,2,0,0,"1/2048",,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,2048,0,0,0,0,0,,,"STATUS_CentrTroll (%MW1)",0,"{}",0
406,4,"STATUS_CentrTroll_out.sens","HR1",,2,0,0,"1/4096",,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,4096,0,0,0,0,0,,,"STATUS_CentrTroll (%MW1)",0,"{}",0
407,4,"STATUS_CentrTroll_out.ctrl","HR1",,2,0,0,"1/8192",,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,8192,0,0,0,0,0,,,"STATUS_CentrTroll (%MW1)",0,"{}",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,4,"STATUS_TakeTable (%MW5)","HR5",,2,0,0,,,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,-1,0,0,0,0,0,,,"STATUS_TakeTable (%MW5)",0,"{}",0
